ligand,res_time_s,temperature,catalyst_loading,yield_pct,turnover
L4,189.7,65.3,2.511,5.1,2.0
L0,60.0,65.3,1.105,7.6,6.9
L2,60.0,65.3,2.512,22.1,8.8
L6,189.7,65.3,1.113,0.8,0.7
L3,60.0,65.3,2.513,0.7,0.3
L3,600.0,105.1,2.513,4.1,1.6
L0,600.0,110.0,2.352,76.6,32.6
L1,600.0,110.0,2.438,80.3,33.0
L2,600.0,110.0,2.317,87.4,37.7
L6,600.0,110.0,2.393,49.9,20.9
L4,600.0,71.7,1.196,0.2,0.1
L4,600.0,48.3,0.748,0.2,0.2
L6,124.3,110.0,1.113,10.9,9.8
L1,202.9,110.0,1.219,62.6,51.4
L0,123.2,110.0,1.105,85.8,77.6
L2,600.0,83.8,1.061,51.7,48.6
L6,60.0,110.0,1.419,35.1,24.8
L1,60.0,110.0,1.672,88.8,53.1
L2,60.0,110.0,1.312,78.4,59.8
L0,60.0,110.0,1.417,87.5,61.8
L1,186.8,110.0,2.494,75.4,30.3
L0,149.9,110.0,2.493,79.8,32.0
L2,179.9,110.0,2.512,86.5,34.4
L0,60.0,110.0,1.502,85.0,56.6
L1,60.0,110.0,1.927,84.2,43.6
L2,137.9,110.0,1.312,79.4,60.6
L2,60.0,110.0,1.647,81.4,49.5
L0,177.6,110.0,1.048,81.1,77.4
L1,188.8,110.0,1.446,71.5,49.5
L2,211.9,110.0,1.368,82.0,59.9
L1,239.7,110.0,1.332,68.2,51.2
L0,253.3,110.0,1.048,87.0,83.0
L0,108.9,110.0,1.275,83.3,65.3
L2,92.2,110.0,1.787,90.2,50.5
L1,66.6,110.0,2.409,86.4,35.8
L2,192.1,110.0,1.731,83.3,48.1
L0,221.3,110.0,1.077,81.7,75.9
L1,192.7,110.0,1.871,77.7,41.5
L0,180.1,110.0,1.303,84.9,65.1
L1,144.0,110.0,1.899,84.6,44.5
L2,146.6,110.0,2.038,87.7,43.0
L0,60.0,110.0,2.493,85.9,34.4
L2,101.5,110.0,1.926,90.4,46.9
L1,60.0,110.0,2.126,81.4,38.3
L0,218.5,110.0,1.105,89.4,80.8
L1,135.7,110.0,1.814,73.5,40.5
L0,600.0,110.0,0.935,79.9,85.6
L2,147.9,110.0,1.591,82.9,52.1
L1,162.9,110.0,1.701,68.0,40.0
L2,162.1,110.0,1.675,90.1,53.8
L0,600.0,110.0,1.218,90.6,74.3
L2,600.0,110.0,1.424,70.1,49.3
L1,600.0,110.0,1.417,94.1,66.4
L2,60.0,110.0,1.926,87.6,45.4
L0,600.0,110.0,1.09,87.3,80.1
L1,60.0,110.0,1.757,77.9,44.3
L2,600.0,110.0,1.787,81.0,45.3
L1,600.0,110.0,1.616,84.5,52.3
L0,600.0,110.0,1.303,84.0,64.4
L0,600.0,110.0,1.218,79.6,65.4
L1,600.0,110.0,1.587,75.0,47.2
L2,600.0,110.0,1.787,78.0,43.6
L2,60.0,40.2,0.503,0.2,0.3
L2,60.0,40.1,0.503,0.2,0.3
L2,229.2,110.0,1.619,80.1,49.6
L5,600.0,110.0,2.504,29.4,11.7
L4,600.0,110.0,2.499,53.6,21.4
L6,60.0,110.0,2.491,23.7,9.5
L2,60.0,110.0,0.502,64.8,129.2
L1,600.0,110.0,0.511,55.1,107.8
L3,60.0,110.0,0.489,15.8,32.4
L0,60.0,110.0,2.501,94.1,37.6
L0,600.0,30.0,0.5,1.5,2.9
L5,60.0,30.0,0.501,0.1,0.2
L6,600.0,30.0,0.503,0.1,0.2
L4,60.0,30.0,0.5,0.1,0.2
L3,600.0,30.0,2.492,11.5,4.6
L1,60.0,30.0,2.507,0.1,0.0
L2,600.0,30.0,2.51,6.9,2.7
L0,600.0,65.3,1.12,73.1,65.3
L5,189.7,65.3,1.127,1.4,1.3
L3,600.0,65.3,2.492,74.1,29.7
L1,189.7,65.3,2.507,91.3,36.4
L6,600.0,65.3,1.126,0.8,0.7
L2,189.7,65.3,1.123,68.3,60.8
L4,189.7,65.3,1.131,1.5,1.3
L0,189.7,110.0,2.501,87.2,34.9
L3,189.7,110.0,1.124,56.9,50.6
L5,600.0,110.0,2.504,40.4,16.1
L2,600.0,110.0,2.51,82.2,32.8
L6,189.7,110.0,2.491,28.8,11.6
L1,600.0,110.0,1.12,80.9,72.2
L4,600.0,110.0,2.499,64.3,25.7
L4,114.7,110.0,1.079,33.9,31.4
L5,114.7,110.0,1.077,23.0,21.4
L6,250.1,110.0,0.982,26.3,26.8
L1,145.8,81.2,1.071,80.2,74.9
L3,226.1,69.5,1.148,9.2,8.1
L2,326.4,109.2,0.932,89.6,96.1
L0,168.9,89.8,0.858,86.4,100.7
L0,600.0,61.9,2.501,94.4,37.8
L1,227.6,101.6,2.507,84.1,33.6
L3,600.0,83.7,2.492,89.4,35.9
L4,60.0,108.5,2.499,48.4,19.4
L2,600.0,75.7,2.51,90.5,36.1
L1,600.0,61.5,1.387,82.6,59.5
L0,600.0,106.8,1.215,88.1,72.5
L2,600.0,84.7,1.793,86.5,48.3
L4,600.0,110.0,1.236,43.0,34.8
L1,600.0,73.7,2.507,88.0,35.1
L2,134.4,110.0,1.53,85.3,55.8
L0,227.9,106.5,0.786,85.3,108.5
L1,600.0,80.8,1.996,95.0,47.6
L2,169.1,98.5,2.056,81.0,39.4
L0,236.9,105.3,0.739,78.9,106.8
L0,60.0,70.4,1.715,67.0,39.1
L2,60.0,82.1,2.295,91.8,40.0
L1,60.0,85.6,2.507,86.6,34.5
L0,600.0,97.7,0.715,82.5,115.4
L1,600.0,72.8,1.314,87.0,66.2
L2,319.6,94.9,1.171,83.6,71.4
L0,299.9,73.5,2.501,99.8,39.9
L2,237.1,95.6,1.554,79.9,51.4
L1,600.0,87.0,1.801,84.6,46.9
L1,196.0,110.0,1.412,84.5,59.9
L0,202.8,108.8,1.358,67.3,49.5
L1,205.1,76.3,1.655,82.7,50.0
L0,222.9,74.7,1.572,81.6,51.9
L0,167.6,73.2,2.287,87.9,38.4
L1,200.4,75.8,1.947,98.7,50.7
L1,600.0,84.2,2.507,88.9,35.5
L2,600.0,98.2,2.51,82.8,33.0
L0,600.0,97.7,2.501,83.8,33.5
L1,600.0,70.7,1.144,79.3,69.3
L2,149.9,93.0,2.51,84.2,33.6
L0,600.0,96.7,0.739,77.8,105.3
L2,216.2,105.7,1.386,85.6,61.7
L0,600.0,97.3,0.715,84.7,118.5
L0,600.0,88.6,0.977,85.6,87.6
L1,600.0,77.4,1.193,78.9,66.2
L1,600.0,77.2,1.314,88.4,67.3
L2,126.4,97.6,2.51,72.6,28.9
L1,276.4,69.3,2.507,99.5,39.7
L0,60.0,110.0,0.643,83.2,129.4
L0,60.0,110.0,0.667,70.1,105.1
L1,258.2,71.6,2.507,84.5,33.7
L1,211.7,104.7,1.193,77.8,65.2
L0,113.3,110.0,1.12,91.1,81.4
L1,600.0,58.7,2.507,86.3,34.4
L0,60.0,110.0,1.096,94.5,86.3
L0,154.1,110.0,1.096,88.6,80.9
L1,600.0,72.4,2.507,84.4,33.7
L0,60.0,110.0,0.977,54.2,55.5
